2017:05:30:15:56:49.276,0.17,-0.158,-1.001
2017:05:30:15:56:49.334,0.342,-0.221,-1.011
2017:05:30:15:56:49.394,0.063,-0.177,-0.938
2017:05:30:15:56:49.451,0.201,-0.179,-1.054
2017:05:30:15:56:49.510,0.093,-0.196,-0.959
2017:05:30:15:56:49.568,0.074,-0.192,-0.986
2017:05:30:15:56:49.627,0.225,-0.206,-1.111
2017:05:30:15:56:49.686,0.176,-0.265,-1.027
2017:05:30:15:56:49.743,-0.025,-0.15,-0.887
2017:05:30:15:56:49.802,-0.069,-0.206,-0.969
2017:05:30:15:56:49.860,0.084,-0.11,-0.874
2017:05:30:15:56:49.919,0.032,-0.18,-0.986
2017:05:30:15:56:49.977,-0.076,-0.19,-0.85
2017:05:30:15:56:50.035,0.042,-0.187,-1.025
2017:05:30:15:56:50.094,0.165,-0.105,-0.981
2017:05:30:15:56:50.152,0.19,-0.135,-0.976
2017:05:30:15:56:50.211,0.119,-0.181,-0.99
2017:05:30:15:56:50.269,0.134,-0.138,-1.138
2017:05:30:15:56:50.327,0.233,-0.214,-1.042
2017:05:30:15:56:50.386,0.097,-0.203,-0.944
2017:05:30:15:56:50.444,0.173,-0.247,-1.013
2017:05:30:15:56:50.503,0.05,-0.147,-1.039
2017:05:30:15:56:50.561,0.027,-0.212,-0.911
2017:05:30:15:56:50.619,0.151,-0.206,-0.963
2017:05:30:15:56:50.678,0.054,-0.136,-0.869
2017:05:30:15:56:50.737,0.209,-0.089,-0.984
2017:05:30:15:56:50.795,0.139,-0.208,-1.073
2017:05:30:15:56:50.853,0.064,-0.221,-1.08
2017:05:30:15:56:50.911,0.014,-0.134,-1.024
2017:05:30:15:56:50.970,0.135,-0.162,-0.907
2017:05:30:15:56:51.028,0.099,-0.195,-0.799
2017:05:30:15:56:51.087,0.17,-0.172,-0.974
2017:05:30:15:56:51.145,0.091,-0.196,-0.913
2017:05:30:15:56:51.215,0.187,-0.203,-0.972
2017:05:30:15:56:51.262,0.249,-0.154,-0.976
2017:05:30:15:56:51.321,0.143,-0.205,-0.956
2017:05:30:15:56:51.378,0.187,-0.168,-1.06
2017:05:30:15:56:51.437,0.095,-0.238,-1.049
2017:05:30:15:56:51.495,0.042,-0.112,-0.916
2017:05:30:15:56:51.553,0.091,-0.158,-0.933
2017:05:30:15:56:51.612,0.154,-0.242,-0.996
2017:05:30:15:56:51.670,0.11,-0.213,-1.058
2017:05:30:15:56:51.729,0.169,-0.169,-0.917
2017:05:30:15:56:51.789,0.077,-0.139,-0.866
