X-Axis,Y-Axis,Z-Axis
-0.519,0.002,-0.807
-0.598,-0.008,-0.867
-0.501,0.004,-0.799
-0.609,-0.009,-0.868
-0.47,-0.001,-0.796
-0.64,-0.008,-0.878
-0.46,-0.001,-0.801
-0.653,-0.007,-0.873
-0.438,-0.008,-0.794
-0.642,-0.006,-0.865
-0.459,-0.005,-0.81
-0.627,-0.005,-0.857
-0.475,-0.012,-0.819
-0.622,0,-0.851
-0.507,-0.005,-0.827
-0.557,-0.001,-0.822
-0.566,-0.004,-0.84
-0.494,0.001,-0.798
-0.613,-0.005,-0.862
-0.476,-0.003,-0.812
-0.65,-0.005,-0.876
-0.449,-0.013,-0.797
-0.622,0,-0.859
-0.485,-0.003,-0.82
-0.599,-0.002,-0.844
-0.521,-0.005,-0.834
-0.553,-0.001,-0.821
-0.565,-0.006,-0.848
-0.509,0.001,-0.804
-0.609,-0.005,-0.864
-0.474,-0.004,-0.803
-0.629,-0.003,-0.863
-0.462,-0.005,-0.805
-0.636,-0.004,-0.859
-0.468,-0.011,-0.815
-0.623,0,-0.853
-0.509,-0.006,-0.836
-0.583,-0.001,-0.83
-0.543,-0.008,-0.85
-0.527,0.006,-0.8
-0.569,-0.004,-0.852
-0.509,0.005,-0.801
-0.617,-0.005,-0.871
-0.466,-0.003,-0.796
-0.63,-0.006,-0.867
-0.459,-0.002,-0.797
-0.638,-0.006,-0.863
-0.46,-0.011,-0.812
-0.639,-0.003,-0.867
-0.482,-0.005,-0.831
-0.607,-0.001,-0.847
-0.502,-0.011,-0.833
-0.569,0.003,-0.828
-0.54,-0.009,-0.849
-0.573,0.005,-0.83
-0.554,-0.004,-0.85
-0.502,0.001,-0.808
-0.609,-0.007,-0.867
-0.493,0.005,-0.792
-0.598,-0.006,-0.863
-0.483,-0.003,-0.798
-0.629,-0.007,-0.871
-0.444,-0.001,-0.785
-0.658,-0.008,-0.883
-0.447,-0.005,-0.798
-0.638,-0.009,-0.872
-0.463,0,-0.815
-0.639,-0.006,-0.863
-0.457,-0.012,-0.809
-0.628,0,-0.862
-0.486,-0.006,-0.825
